jcompany_name,scompany_name,company_name_clean,company_tech_stack,company_keywords_jumpit,company_type,industry
설텍,(주)설텍,설텍,RTOS;C++;C;Qt;SW;FPGA;Pads;Autocad;Embedded Linux;OpenGL;Fusion 360;Mfc;Orcad;MATLAB;PCB;HW;ethernet;Verilog;Solidworks;Embedded;MCU,매출액 100억 기업;장기근속 포상;성과급/상여금,중소기업;주식회사;연구소;병역특례 인증업체;수출입 기업,에너지 저장장치 제조업
제이브이엠,(주)제이브이엠,제이브이엠,C#;Microsoft SQL Server;Blazor;WCF;WPF;Python,"연봉상승률 10% 이상;주거복지;장기근속 포상;한미사이언스 계열사;코스닥;점심지원;평균연봉 6,000 이상","","용기 세척, 포장 및 충전기 제조업"
아세아텍,(주)아세아텍,아세아텍,FW;C;HW,"코스닥;휴가비 지원;점심지원;평균연봉 6,000 이상","",농업 및 임업용 기계 제조업
토모큐브,(주)토모큐브,토모큐브,CUDA;C#;C++;SW;Linux;Docker;3D Rendering;GUI;Azure Application Insights;MATLAB,"스타트업;시리즈C 투자유치;급성장중;코스닥;휴가비 지원;성과급/상여금;평균연봉 6,000 이상",스타트업;중소기업;코스닥;주식회사;외부감사법인;병역특례 인증업체;수출입 기업,기타 광학기기 제조업
러닝포인트,(주)러닝포인트,러닝포인트,Firebase;React Canvas;Node.js;iOS;React;Kotlin;AZURE;Swagger UI;Git;Figma;Socket.IO;Sequelize;Swift;AWS;Android OS;ExpressJS,급성장중;1호선 역세권 기업;유연근무제,중소기업;주식회사,그 외 기타 스포츠 서비스업
엘리스그룹,(주)엘리스그룹,엘리스그룹,AI/인공지능;ISMS;VPN;Network;MachineLearning;IPS,2호선 역세권 기업,중소기업;주식회사;병역특례 인증업체,""
비글즈,(주)비글즈,비글즈,TypeScript;REST API;Java;Docker;JavaScript;Spring Boot;Next.js;React,급성장중;프리한 복장;유연근무제;간식 제공;성과급/상여금,중소기업;주식회사,포털 및 기타 인터넷 정보매개 서비스업
브이피피랩,(주)브이피피랩,브이피피랩,Java;CSS 3;GitHub;Next.js;React;TypeScript;REST API;Vue.js;Git;React D3 Library;HTML5;AWS;Python,급성장중;패밀리데이;유연근무제;점심지원;매출액 20% 지속성장;간식 제공,중소기업,기타 정보기술 및 컴퓨터운영 관련 서비스업
(주)트래딧,(주)트래딧,트래딧,FW;SW;Embedded,연봉상승률 20% 이상;매출액 100억 기업;9호선 역세권 기업;유연근무제;점심지원;성과급/상여금,중소기업;주식회사;사단법인;수출입 기업,절삭가공 및 유사처리업
에이아이웍스,(주)에이아이웍스,에이아이웍스,Docker Cloud;C#;AI/인공지능;C;GitHub;DeepLearning;Laravel;QA;Shell;PyTorch;NLP;Docker;Confluence;Semantic UI React;MySQL;3D Rendering;JavaScript;PHP;TCP/IP;Selenium;TensorFlow;Python;C++;Appium;Jira;Vue.js;Git;Slack;Django;BigData;Transformers;Keras;Etl;Kubernetes,시리즈B 투자유치;스타트업;급성장중;장기근속 포상;자유로운 연차;아기 유니콘,스타트업;중소기업;주식회사;병역특례 인증업체,응용 소프트웨어 개발 및 공급업
아타드,아타드(주),아타드,Golang;Amazon EC2;AI/인공지능;DeepLearning;Next.js;Npl;MachineLearning;TypeScript;AZURE;Solidity;Docker;Terraform;MySQL;JavaScript;Objective-C;Oracle;AWS;Azure DevOps;ExpressJS;Flask;Java;C lang;MariaDB;Node.js;React;SQL;Git;Slack;GCP;Swift;React Native;Android OS;Kubernetes;WebRTC,자유로운 연차;매출액 150% 급성장;유연근무제;매출액 20% 지속성장,중소기업,응용 소프트웨어 개발 및 공급업
미조리장갑,미조리장갑(주),미조리장갑,SW;Linux;React Router;Embedded,점심지원,중소기업,""
이투비비,(주)이투비비,이투비비,Git;MCU;Python,급성장중;1호선 역세권 기업;성과급/상여금,중소기업;주식회사;연구소,그 외 기타 전자부품 제조업
블링크큐벡스핀,블링크큐벡스핀,블링크큐벡스핀,C#;Java;CSS 3;Figma;jQuery;JavaScript;HTML5;PHP,장기근속 포상;프리한 복장;1호선 역세권 기업,"",쇼핑몰·오픈마켓
에스티씨랩,주식회사 에스티씨랩,에스티씨랩,Golang;RDB;GitHub;K8S;Go;Redis;OLAP;Datadog;AWS,"연봉상승률 15% 이상;급성장중;아기 유니콘;유연근무제;시리즈A 투자유치;평균연봉 6,000 이상","",""
혜연전자,혜연전자(주),혜연전자,C++;C;Git;RF;Pads;Zephyr;MCU;PCB;Bootsnap;HW,프리한 복장;점심지원,중소기업;주식회사,연성 및 기타 인쇄회로기판 제조업
허드슨에이아이,(주)허드슨에이아이,허드슨에이아이,TypeScript;Java;NoSql;Docker;Flutter;MongoDB;iOS;Android OS;React;Python;REST API;PyTorch;Timber.io,"매출액 150% 급성장;점심지원;매출액 20% 지속성장;평균연봉 6,000 이상",중소기업,응용 소프트웨어 개발 및 공급업
맥스인포텍,(주)맥스인포텍,맥스인포텍,CSS 3;Deta Cloud;Infra;Node.js;Spring;AZURE;ISMS;JavaScript;HTML5;CISSP;CloudFlare;AWS;Azure DevOps,8호선 역세권 기업;유연근무제,중소기업;주식회사,"컴퓨터 및 주변장치, 소프트웨어 도매업"
트리플콤마,트리플콤마(주),트리플콤마,Java;RDB;REST API;MySQL;Spring Security;WebSocket,"연봉상승률 10% 이상;평균연봉 상위 10%;주거복지;매출액 100억 기업;재택근무;유연근무제;매출액 20% 지속성장;평균연봉 7,000 이상","",모바일 게임 소프트웨어 개발 및 공급업
데이터메이커,(주)데이터메이커,데이터메이커,Golang;AngularJS;scikit-learn;Babel;GitHub;PostgreSQL;ES6;three.js;REST API;Shell;PyTorch;GitHub Actions;Docker;Terraform;Django REST framework;JavaScript;MySQL;Oracle;Python;Ubuntu;CSS 3;Rust;Argo;Redis;Nuxt.js;Node.js;Spring;Pulumi;React;Rails;Vue.js;Git;Linux;Django;TailwindCSS;Ansible;HTML5;Keras;GoLand;Webpack;Kubernetes,급성장중;휴가비 지원;프리한 복장;재택근무;유연근무제;성과급/상여금,중소기업,전기ㆍ전자공학 연구개발업
폴라리스쓰리디,(주)폴라리스쓰리디,폴라리스쓰리디,MQTT;RTOS;AI/인공지능;C;MVVM;PostgreSQL;ES6;Spring Boot;Debian;Docker;NGINX;MySQL;TCP/IP;Flutter;AWS;Python;TensorFlow;Ubuntu;C++;Vite;React;Vue.js;Linux;Zustand;Kubernetes,연봉상승률 10% 이상;급성장중;자유로운 연차;유연근무제,중소기업;주식회사;병역특례 인증업체,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업"
와이톤,(주)와이톤,와이톤,Java;CSS 3;Shopify;React;SQL;REST API;Vue.js;Git;Figma;Django;HTML5;PHP;FastAPI;AWS;Python,7호선 역세권 기업;유연근무제,중소기업;주식회사,광고 대행업
모멘티어테크놀로지스,(주)모멘티어테크놀로지스,모멘티어테크놀로지스,AI/인공지능;NLP;GCP;DeepLearning;MachineLearning;AWS;Python,5호선 역세권 기업;유연근무제,중소기업,응용 소프트웨어 개발 및 공급업
뷰런테크놀로지,(주)뷰런테크놀로지,뷰런테크놀로지,C++;C;Appium;DeepLearning;MATLAB;gRPC;Protobuf;QA;TypeScript;Vue.js;REST API;PyTorch;Linux;JavaScript;TCP/IP;GUI;Selenium;Python;TensorFlow,급성장중;자유로운 연차;2호선 역세권 기업;유연근무제;점심지원;매출액 20% 지속성장;시리즈A 투자유치,중소기업;주식회사,응용 소프트웨어 개발 및 공급업
포우,포우,포우,C++;SW;OpenCV,점심지원,중소기업,""
컨두잇,(주)컨두잇,컨두잇,Jenkins;Java;Git;PostgreSQL;JavaScript;PHP;Spring Boot;Node.js;Spring;Ruby,장기근속 포상;매출액 150% 급성장;5호선 역세권 기업;매출액 20% 지속성장,중소기업,포털 및 기타 인터넷 정보매개 서비스업
인졀미,(주)인졀미,인졀미,IntelliJ IDEA;Git Flow;scikit-learn;PostgreSQL;iOS;Anaconda;notion.so;TypeScript;REST API;Visual Studio Code;NoSql;Flutter;Android Studio;AWS;Python;TensorFlow;Java;Node.js;Kotlin;Git;Linux;Sequelize;Swift;Android SDK;Android OS;Dart,급성장중;재택근무;Seed 투자유치;성과급/상여금,중소기업;주식회사,응용 소프트웨어 개발 및 공급업
포스로직,(주)포스로직,포스로직,C#;CUDA;C++;AI/인공지능;C;OpenMP;DeepLearning;Visual Studio;MachineLearning,급성장중;2호선 역세권 기업;사내 카페,중소기업;주식회사;사단법인,응용 소프트웨어 개발 및 공급업
스패로우,(주)스패로우,스패로우,Airflow;C#;PostgreSQL;GitHub;Kafka;RDB;REST API;Docker;Terraform;MySQL;AWS;Spring Data JPA;Python;Java;C++;Scala;JSP;Redis;SQL;Kotlin;Apache Spark;Spring Framework;Spark;DB;Kubernetes,주거복지;매출액 100억 기업;파수 계열사;재택근무;경의선 역세권 기업,중소기업;주식회사,응용 소프트웨어 개발 및 공급업
에이엠스퀘어,에이엠스퀘어(주),에이엠스퀘어,AI/인공지능;PyTorch;Docker;scikit-learn;MachineLearning;NumPy;Python;TensorFlow,급성장중;영업이익률 20% 이상,중소기업;주식회사,컴퓨터시스템 통합 자문 및 구축 서비스업
넥스트챕터,(주)넥스트챕터,넥스트챕터,TypeScript;REST API;Vue.js;Linux;Redux;JavaScript;GraphQL;Windows;React,점심지원;시리즈A 투자유치,중소기업,전자상거래 소매업
이노비즈,(주)이노비즈,이노비즈,C++;SW;Visual C++;MachineLearning,"매출액 500억 기업;급성장중;매출액 150% 급성장;영업이익 150% 급성장;평균연봉 6,000 이상;영업이익률 20% 이상",중소기업;주식회사;외부감사법인;병역특례 인증업체;수출입 기업,반도체 제조용 기계 제조업
알피니언메디칼시스템,알피니언메디칼시스템(주),알피니언메디칼시스템,C#;C++;C;SW;Windows Server;Visual C++;Windows;WPF;MATLAB;PCB;HW;labview;JavaScript;DICOM;Python,장기근속 포상;자유로운 연차;일진 계열사;점심지원;사내 카페,중소기업;주식회사;병역특례 인증업체;수출입 기업,전기·전자·제어
유디아이디,(주)유디아이디,유디아이디,Java;jQuery;JavaScript;MySQL;PHP;MongoDB;Laravel;GitLab,스타트업;매출액 100억 기업;장기근속 포상;2호선 역세권 기업;스타트업 인기TOP100,스타트업;중소기업;주식회사;외부감사법인,응용 소프트웨어 개발 및 공급업
에스디바이오센서,에스디바이오센서(주),에스디바이오센서,REST API;C++;Objective-C;Swift;iOS,"급성장중;수인분당선 역세권 기업;점심지원;코스피;평균연봉 6,000 이상",중견기업;코스피;외국인 투자기업;주식회사;외부감사법인;수출입 기업,전기식 진단 및 요법 기기 제조업
엔클로니,(주)엔클로니,엔클로니,C#;C++;C;SW;Embedded Linux,매출액 100억 기업;급성장중;7호선 역세권 기업;아기 유니콘,중소기업;주식회사;병역특례 인증업체,"물질 검사, 측정 및 분석기구 제조업"
엑심베이,(주)엑심베이,엑심베이,Amazon EC2;AI/인공지능;ELK;Amazon S3;AWS CloudFormation;Infra;Next.js;Datadog;QA;REST API;FW;Shell;NoSql;Terraform;Confluence;Percona Server for MySQL;JavaScript;MySQL;Network;Oracle;AWS;Python;Java;Amazon CloudFront;MariaDB;Jira;Refactor.io;ISMS;jQuery;Git;Slack;Linux;AWS WAF;GCP;Apache Aurora;Spring Framework;CentOS;DB;Amazon RDS,연봉상승률 20% 이상;자유로운 연차;프리한 복장;2호선 역세권 기업;유연근무제;워라밸,중소기업;주식회사;병역특례 인증업체,그 외 기타 금융 지원 서비스업
원익피앤이,(주)원익피앤이,원익피앤이,C#;FW;C;SW;Keras;Embedded;WPF;MCU;Python;TensorFlow;HW,주거복지;장기근속 포상;패밀리데이;원익 계열사;코스닥;매출액 1000억 기업;수인분당선 역세권 기업,중견기업;코스닥,그 외 기타 특수목적용 기계 제조업
제이엔에스,(주)제이엔에스,제이엔에스,C#;SW,주거복지,중소기업;주식회사;외부감사법인;수출입 기업,반도체 제조용 기계 제조업
파이,파이(주),파이,C#;C++;Xcode;OpenGL;Mfc;WPF;React;REST API;OpenCV;Objective-C;Flutter;Swift;GUI;Android Studio,급성장중;장기근속 포상;성과급/상여금,중소기업;주식회사;수출입 기업,전기식 진단 및 요법 기기 제조업
피앤이시스템즈,(주)피앤이시스템즈,피앤이시스템즈,Composer;C++;Rust;C;Kafka;Redis;Node.js;WebSocket;Kotlin;Jetpack;TypeScript;Druid;Elasticsearch;Docker;MySQL;SQLite;GUI;NestJS;Python,"매출액 100억 기업;장기근속 포상;원익 계열사;점심지원;평균연봉 6,000 이상",중소기업;연구소;수출입 기업,기타 전기 변환장치 제조업
유버,유버 주식회사,유버,Pads;SMPS;Orcad;PCB;HW,스타트업;급성장중;장기근속 포상;점심지원,스타트업;외국 법인기업;주식회사;연구소;병역특례 인증업체;수출입 기업,""
포유디지탈,(주)포유디지탈,포유디지탈,FW;Ccie;Switch;L2;L3;Ccnp;HW,매출액 100억 기업;육아휴직;급성장중;자유로운 연차;점심지원;성과급/상여금;사내 카페,중소기업;주식회사;병역특례 인증업체,컴퓨터 제조업
프로게이트테크놀로지,(주)프로게이트테크놀로지,프로게이트테크놀로지,C;Linux;iOS;Android OS,수인분당선 역세권 기업;간식 제공;영업이익률 20% 이상,중소기업,전기용 기계ㆍ장비 및 관련 기자재 도매업
라닉스,(주)라닉스,라닉스,C++;Linux;FPGA;Embedded Linux;ARM,"장기근속 포상;코스닥;7호선 역세권 기업;유연근무제;사내 카페;평균연봉 6,000 이상",중소기업;코스닥;주식회사,비메모리용 및 기타 전자집적회로 제조업
지니언스,지니언스(주),지니언스,AngularJS;C;GitHub;Linux Mint;Kafka;Testrail;ES6;Spark Framework;Next.js;Laravel;QA;ScriptRock;VPN;JavaScript;PHP;PowerShell;CSS 3;C++;Travis CI;Jira;React;OpenSSL;Git;jQuery;Linux;HTML5;Webpack,"패밀리데이;코스닥;4호선 역세권 기업;유연근무제;사내 카페;평균연봉 6,000 이상",중소기업;코스닥;주식회사;외부감사법인;병역특례 인증업체;수출입 기업,응용 소프트웨어 개발 및 공급업
라온피플,라온피플(주),라온피플,RDB;NoSql;MySQL;Kafka;Redis;MongoDB;Python,스타트업;장기근속 포상;코스닥;유연근무제;점심지원;간식 제공,스타트업;중소기업;코스닥;주식회사;외부감사법인;연구소;병역특례 인증업체;수출입 기업,응용 소프트웨어 개발 및 공급업
브릭,(주)브릭,브릭,Jenkins;TypeScript;Java;Git;Linux;Docker;Eclipse;JavaScript;Oracle;Spring;React,장기근속 포상;점심지원,중소기업;주식회사;수출입 기업,""
노아시스템즈,(주)노아시스템즈,노아시스템즈,Java;C++;ApexCharts;C;IntelliJ IDEA;Spring Boot;Spring;React;Utm;TypeScript;REST API;Shell;Visual Studio Code;Swagger UI;Git;Linux;JavaScript;TCP/IP;GUI;Spring Security,"평균연봉 상위 10%;연봉상승률 15% 이상;급성장중;2호선 역세권 기업;유연근무제;평균연봉 7,000 이상;영업이익률 20% 이상",중소기업,시스템 소프트웨어 개발 및 공급업
야나두,(주)야나두,야나두,Java;MSA;Node.js;Spring;Spring Data JPA;Kotlin;TypeORM,"카카오 계열사;평균연봉 6,000 이상",기타;주식회사,온라인 교육 학원
아이디에스앤트러스트,(주)아이디에스앤트러스트,아이디에스앤트러스트,C#;ERP;SAP;Babel;Next.js;ABAP;TypeScript;NoSql;JavaScript;MySQL;Oracle;Python;Java;CSS 3;Node.js;Spring;MSSQL;Vite;React;Kotlin;SQL;DB2;Django;HTML5;Spring Framework;Webpack,"대웅 계열사;9호선 역세권 기업;점심지원;평균연봉 6,000 이상",중소기업;외부감사법인,응용 소프트웨어 개발 및 공급업
린컴퍼니,(주)린컴퍼니,린컴퍼니,Java;ERP;Miplatform;Spring;Oracle,매출액 500억 기업;7호선 역세권 기업;영업이익률 20% 이상,"",여자용 겉옷 제조업
텔코웨어,텔코웨어(주),텔코웨어,Golang;C;SW;Linux;Network;TCP/IP,"평균연봉 상위 10%;주거복지;2호선 역세권 기업;코스피;평균연봉 7,000 이상;사내 카페",중소기업;코스피;주식회사;외부감사법인;연구소;수출입 기업,응용 소프트웨어 개발 및 공급업
팜클,(주)팜클,팜클,HW,매출액 100억 기업;장기근속 포상;패밀리데이;유연근무제,중소기업;주식회사,화학 살균ㆍ살충제 및 농업용 약제 제조업
서플러스글로벌,(주)서플러스글로벌,서플러스글로벌,Java;ERP;Git Flow;PostgreSQL;MariaDB;Spring Boot;MSSQL;Spring;Jira;REST API;Elasticsearch;Confluence;MySQL;Oracle;Etl,급성장중;코스닥,중견기업;코스닥;주식회사;수출입 기업,기타 산업용 기계 및 장비 도매업
한국네트웍스,(주)한국네트웍스,한국네트웍스,SAP;ABAP,주거복지;대기업;매출액 100억 기업;육아휴직;장기근속 포상;한국앤컴퍼니그룹 계열사;경강선 역세권 기업;점심지원,대기업;외부감사법인;수출입 기업,컴퓨터시스템 통합 자문 및 구축 서비스업
건솔루션,건솔루션(주),건솔루션,C++;AI/인공지능;JSP;MySQL;.NET;MSSQL;Python;SQL,연봉상승률 20% 이상;1호선 역세권 기업;사내 카페,중소기업;주식회사,응용 소프트웨어 개발 및 공급업
이지스엔터프라이즈,이지스엔터프라이즈(주),이지스엔터프라이즈,Jenkins;Java;Git;Confluence;MySQL;Spring Framework;Amazon Aurora;Spring Boot;Oracle;Jira;AWS,"평균연봉 상위 10%;매출액 100억 기업;육아휴직;장기근속 포상;1호선 역세권 기업;점심지원;평균연봉 7,000 이상;영업이익률 20% 이상",중견기업;외부감사법인,그 외 기타 금융 지원 서비스업
위드네트웍스,(주)위드네트웍스,위드네트웍스,FortiGate NGFW;Java;Vue.js;Docker;Linux;Network;JavaScript;MongoDB;Spring Boot;Spring;Python,영업이익 20% 지속성장;매출액 100억 기업;육아휴직;장기근속 포상;자유로운 연차;프리한 복장;9호선 역세권 기업;영업이익 150% 급성장;성과급/상여금,중소기업;주식회사;외부감사법인,응용 소프트웨어 개발 및 공급업
미투온,(주)미투온,미투온,C#;REST API;Git;Unity;Mfc;iOS;Android OS;JavaScript;Next.js;React,주거복지;육아휴직;장기근속 포상;코스닥;프리한 복장;9호선 역세권 기업;사내 카페,중소기업;코스닥;주식회사;사단법인,유선 온라인 게임 소프트웨어 개발 및 공급업
피플앤드테크놀러지,(주)피플앤드테크놀러지,피플앤드테크놀러지,Ubuntu;NGINX;InfluxDB;Azure App Service;MariaDB;Redis;CentOS;Apache Tomcat;AWS Amplify,시리즈C 투자유치;육아휴직;급성장중;자유로운 연차;프리한 복장;2호선 역세권 기업;유연근무제;워라밸,중소기업;주식회사;외부감사법인,응용 소프트웨어 개발 및 공급업
이브릿지,(주)이브릿지,이브릿지,REST API;CSS 3;jQuery;MySQL;HTML5;JavaScript;PHP;Node.js;Apache HTTP Server,육아휴직;2호선 역세권 기업,중소기업,광고 대행업
세기알앤디,(주)세기알앤디,세기알앤디,RF;Pads;HW,"평균연봉 상위 10%;주거복지;인천1호선 역세권 기업;평균연봉 7,000 이상",중소기업;외국인 투자기업;주식회사;연구소;수출입 기업,기타 공학 연구개발업
111퍼센트,111퍼센트(주),111퍼센트,Infra;Photon;TypeScript;Jenkins;AZURE;Cocos2D-X;Unity;Linux;GCP;GitLab CI;HTML5;Network;TCP/IP;Phaser;AWS;Azure DevOps;Kubernetes,"슈퍼패스트 계열사;매출액 150% 급성장;매출액 1000억 기업;2호선 역세권 기업;점심지원;영업이익 150% 급성장;사내 카페;평균연봉 6,000 이상",중소기업,모바일 게임 소프트웨어 개발 및 공급업
엠투아이코퍼레이션,(주)엠투아이코퍼레이션,엠투아이코퍼레이션,MQTT;C#;C++;Qt;C;Circuit design;Pads;Embedded Linux;Windows;Zephyr;iOS;Orcad;PCB;Yocto;Linux;Docker;Scope;MES;Embedded;Android OS;MCU;Python;SCADA,"주거복지;육아휴직;장기근속 포상;스마트이노베이션홀딩스 계열사;코스닥;휴가비 지원;4호선 역세권 기업;점심지원;평균연봉 6,000 이상",1000대기업;중소기업;코스닥;주식회사;외부감사법인;수출입 기업,산업처리공정 제어장비 제조업
덴티움,(주)덴티움,덴티움,C#;C++;ERP;Qt;SW;Pads;DirectX;PostgreSQL;GraphQL;OpenGL;Node.js;Windows;MSSQL;WPF;Orcad;NestJS,신분당선 역세권 기업;코스피;성과급/상여금;사내 카페,중견기업;코스피;주식회사;외부감사법인;병역특례 인증업체;수출입 기업,치과용 기기 제조업
스트라티오코리아,(주)스트라티오코리아,스트라티오코리아,Embedded;MCU;PCB,스타트업;급성장중;시리즈A 투자유치,스타트업;중소기업;주식회사;병역특례 인증업체;수출입 기업,컴퓨터시스템 통합 자문 및 구축 서비스업
크레셈,(주)크레셈,크레셈,C#;SW;OpenCV;HALCON;WPF;MachineLearning;PCB,"급성장중;장기근속 포상;자유로운 연차;인천1호선 역세권 기업;평균연봉 6,000 이상",중소기업;주식회사;외부감사법인;수출입 기업,반도체 제조용 기계 제조업
쿤텍,쿤텍(주),쿤텍,C++;C;SW;Embedded;HW,육아휴직;급성장중;장기근속 포상;프리한 복장;재택근무;점심지원;유연근무제;워라밸,중소기업;주식회사;연구소;병역특례 인증업체,시스템 소프트웨어 개발 및 공급업
버즈니,(주)버즈니,버즈니,Kafka;Prometheus;Redis;Amazon EKS;Grafana;Jenkins;PyTorch;MySQL;FastAPI;Sentry;MongoDB;Helm;AWS;Python;Kubernetes;TensorFlow,"평균연봉 상위 10%;스타트업;자유로운 연차;2호선 역세권 기업;유연근무제;점심지원;스타트업 인기TOP100;평균연봉 7,000 이상",스타트업;중소기업;연구소;병역특례 인증업체,응용 소프트웨어 개발 및 공급업
알에프텍,(주)알에프텍,알에프텍,FW;SW;RF;Analog;Genesys;Embedded;Orcad;PCB;HW,급성장중;장기근속 포상;코스닥;점심지원,중견기업;코스닥;주식회사;외부감사법인;수출입 기업,기타 무선 통신장비 제조업
